iter	Passed	Remaining
0	87	43628
1	114	28437
2	139	23028
3	159	19775
4	185	18328
5	218	18027
6	247	17414
7	270	16654
8	299	16344
9	323	15853
10	347	15432
11	367	14946
12	386	14474
13	419	14549
14	441	14276
15	475	14369
16	503	14307
17	521	13972
18	545	13808
19	564	13544
20	593	13530
21	617	13415
22	647	13434
23	671	13312
24	691	13140
25	724	13203
26	748	13115
27	771	13012
28	798	12968
29	841	13187
30	888	13440
31	926	13549
32	969	13717
33	1026	14071
34	1082	14384
35	1121	14453
36	1174	14700
37	1232	14986
38	1315	15553
39	1354	15578
40	1432	16035
41	1528	16664
42	1578	16770
43	1624	16836
44	1672	16915
45	1713	16908
46	1756	16928
47	1793	16888
48	1837	16911
49	1872	16855
50	1915	16860
51	2038	17565
52	2077	17523
53	2104	17383
54	2144	17348
55	2174	17242
56	2200	17101
57	2228	16983
58	2258	16881
59	2284	16754
60	2320	16702
61	2361	16681
62	2400	16647
63	2439	16615
64	2485	16635
65	2533	16660
66	2600	16803
67	2646	16811
68	2686	16779
69	2720	16709
70	2754	16643
71	2790	16586
72	2827	16536
73	2860	16466
74	2888	16366
75	2924	16315
76	2975	16347
77	3037	16433
78	3072	16371
79	3121	16389
80	3166	16378
81	3218	16407
82	3268	16421
83	3308	16385
84	3357	16394
85	3433	16531
86	3483	16535
87	3521	16487
88	3583	16549
89	3622	16502
90	3667	16484
91	3717	16485
92	3751	16415
93	3790	16372
94	3837	16360
95	3886	16356
96	3946	16394
97	3964	16262
98	4007	16233
99	4048	16193
100	4083	16130
101	4122	16087
102	4160	16037
103	4188	15949
104	4216	15861
105	4255	15818
106	4298	15788
107	4337	15743
108	4374	15693
109	4414	15650
110	4457	15621
111	4502	15598
112	4574	15666
113	4611	15615
114	4681	15672
115	4795	15874
116	4850	15877
117	4902	15869
118	4953	15858
119	5018	15893
120	5082	15918
121	5123	15874
122	5158	15810
123	5200	15767
124	5247	15742
125	5305	15747
126	5353	15722
127	5406	15711
128	5451	15677
129	5490	15626
130	5535	15592
131	5564	15512
132	5602	15459
133	5639	15403
134	5677	15351
135	5714	15293
136	5741	15211
137	5779	15161
138	5819	15115
139	5865	15081
140	5910	15048
141	5956	15018
142	5995	14968
143	6041	14935
144	6078	14882
145	6139	14885
146	6198	14884
147	6252	14870
148	6286	14809
149	6322	14752
150	6364	14709
151	6403	14660
152	6445	14618
153	6481	14561
154	6513	14497
155	6547	14437
156	6588	14393
157	6648	14391
158	6695	14359
159	6737	14317
160	6787	14291
161	6833	14257
162	6880	14226
163	6918	14174
164	6958	14127
165	6997	14080
166	7046	14050
167	7127	14084
168	7180	14062
169	7216	14009
170	7292	14030
171	7334	13987
172	7377	13944
173	7429	13918
174	7461	13857
175	7522	13849
176	7547	13773
177	7579	13711
178	7618	13662
179	7652	13605
180	7694	13561
181	7739	13523
182	7765	13450
183	7790	13379
184	7823	13321
185	7855	13261
186	7881	13191
187	7914	13134
188	7949	13080
189	7977	13016
190	8064	13047
191	8107	13005
192	8163	12985
193	8210	12951
194	8271	12937
195	8328	12917
196	8376	12883
197	8438	12871
198	8481	12829
199	8523	12785
200	8558	12731
201	8608	12698
202	8640	12641
203	8661	12567
204	8701	12521
205	8734	12465
206	8761	12401
207	8801	12356
208	8851	12323
209	8934	12338
210	8963	12277
211	9013	12244
212	9064	12213
213	9111	12177
214	9150	12130
215	9185	12077
216	9217	12020
217	9242	11956
218	9283	11912
219	9323	11866
220	9362	11819
221	9393	11762
222	9427	11710
223	9453	11648
224	9481	11587
225	9512	11532
226	9540	11474
227	9574	11422
228	9595	11355
229	9619	11292
230	9649	11236
231	9697	11202
232	9739	11160
233	9781	11118
234	9816	11069
235	9849	11017
236	9883	10967
237	9929	10930
238	9958	10875
239	9984	10816
240	10015	10763
241	10055	10720
242	10090	10671
243	10127	10625
244	10164	10578
245	10217	10550
246	10263	10512
247	10392	10559
248	10481	10566
249	10534	10534
250	10578	10494
251	10623	10454
252	10669	10416
253	10697	10360
254	10745	10324
255	10765	10260
256	10790	10202
257	10826	10154
258	10855	10101
259	10896	10057
260	10932	10010
261	10964	9960
262	10998	9911
263	11040	9869
264	11073	9820
265	11118	9780
266	11170	9748
267	11207	9701
268	11245	9656
269	11278	9607
270	11314	9560
271	11340	9505
272	11371	9455
273	11410	9411
274	11443	9362
275	11472	9311
276	11504	9261
277	11527	9205
278	11551	9150
279	11588	9105
280	11622	9057
281	11645	9002
282	11682	8957
283	11710	8906
284	11739	8855
285	11760	8799
286	11796	8754
287	11825	8705
288	11857	8656
289	11879	8602
290	11905	8550
291	11932	8499
292	11967	8454
293	12008	8414
294	12041	8367
295	12076	8323
296	12106	8275
297	12136	8226
298	12172	8182
299	12204	8136
300	12240	8092
301	12275	8048
302	12315	8007
303	12347	7960
304	12377	7913
305	12411	7868
306	12440	7820
307	12485	7782
308	12517	7737
309	12544	7688
310	12586	7648
311	12615	7601
312	12653	7559
313	12689	7516
314	12722	7471
315	12757	7428
316	12795	7386
317	12827	7341
318	12853	7293
319	12896	7254
320	12926	7208
321	12952	7160
322	12984	7115
323	13014	7069
324	13047	7025
325	13078	6980
326	13107	6934
327	13143	6892
328	13176	6848
329	13217	6808
330	13246	6763
331	13280	6720
332	13316	6678
333	13349	6634
334	13372	6586
335	13402	6541
336	13432	6497
337	13472	6457
338	13500	6411
339	13537	6370
340	13573	6329
341	13595	6280
342	13628	6238
343	13644	6187
344	13675	6143
345	13766	6127
346	13822	6094
347	13882	6063
348	13930	6027
349	13992	5996
350	14062	5969
351	14126	5939
352	14194	5911
353	14249	5876
354	14286	5835
355	14331	5796
356	14359	5752
357	14397	5710
358	14425	5665
359	14467	5626
360	14496	5581
361	14528	5538
362	14551	5491
363	14589	5451
364	14627	5410
365	14654	5365
366	14691	5324
367	14721	5280
368	14753	5237
369	14789	5196
370	14814	5151
371	14838	5105
372	14875	5065
373	14912	5023
374	14954	4984
375	14984	4941
376	15022	4901
377	15055	4859
378	15086	4816
379	15123	4775
380	15161	4735
381	15197	4694
382	15221	4649
383	15253	4607
384	15286	4566
385	15319	4524
386	15349	4481
387	15432	4454
388	15474	4415
389	15510	4374
390	15545	4333
391	15581	4292
392	15606	4249
393	15632	4205
394	15668	4165
395	15709	4125
396	15742	4084
397	15772	4042
398	15794	3998
399	15830	3957
400	15858	3915
401	15892	3874
402	15925	3833
403	15955	3791
404	16000	3753
405	16030	3711
406	16068	3671
407	16106	3631
408	16138	3590
409	16169	3549
410	16205	3509
411	16243	3469
412	16273	3428
413	16308	3387
414	16339	3346
415	16373	3306
416	16407	3265
417	16434	3223
418	16460	3182
419	16498	3142
420	16532	3102
421	16569	3062
422	16601	3022
423	16628	2980
424	16663	2940
425	16703	2901
426	16742	2862
427	16783	2823
428	16818	2783
429	16854	2743
430	16885	2703
431	16913	2662
432	16944	2621
433	16981	2582
434	17022	2543
435	17057	2503
436	17095	2464
437	17126	2424
438	17159	2384
439	17189	2343
440	17216	2303
441	17247	2263
442	17282	2223
443	17322	2184
444	17354	2144
445	17383	2104
446	17417	2065
447	17451	2025
448	17486	1986
449	17515	1946
450	17542	1905
451	17578	1866
452	17614	1827
453	17640	1787
454	17676	1748
455	17705	1708
456	17746	1669
457	17783	1630
458	17812	1591
459	17850	1552
460	17876	1512
461	17920	1474
462	17951	1434
463	17984	1395
464	18014	1355
465	18049	1316
466	18079	1277
467	18116	1238
468	18154	1199
469	18179	1160
470	18211	1121
471	18244	1082
472	18279	1043
473	18308	1004
474	18351	965
475	18377	926
476	18418	888
477	18462	849
478	18501	811
479	18532	772
480	18559	733
481	18596	694
482	18628	655
483	18660	616
484	18695	578
485	18733	539
486	18761	500
487	18793	462
488	18838	423
489	18881	385
490	18911	346
491	18945	308
492	18974	269
493	19013	230
494	19044	192
495	19080	153
496	19113	115
497	19146	76
498	19183	38
499	19215	0
